time,type,local time,latitude,longitude
20131006_06, TY,20131006_06,21.9,134.9
20131006_06, TY,20131006_06,21.9,134.9
20131006_06, TY,20131006_06,21.9,134.9
20131006_12, TY,20131006_12,22.8,133.4
20131006_12, TY,20131006_12,22.8,133.4
20131006_12, TY,20131006_12,22.8,133.4
20131006_18, TY,20131006_18,24.0,131.8
20131006_18, TY,20131006_18,24.0,131.8
20131006_18, TY,20131006_18,24.0,131.8
20131007_00, TY,20131007_00,25.2,130.2
20131007_00, TY,20131007_00,25.2,130.2
20131007_00, TY,20131007_00,25.2,130.2
20131007_06, TY,20131007_06,26.6,128.8
20131007_06, TY,20131007_06,26.6,128.8
20131007_06, TY,20131007_06,26.6,128.8
20131007_12, TY,20131007_12,28.1,127.7
20131007_12, TY,20131007_12,28.1,127.7
20131007_12, TY,20131007_12,28.1,127.7
20131007_18, TY,20131007_18,29.6,127.0
20131007_18, TY,20131007_18,29.6,127.0
20131007_18, TY,20131007_18,29.6,127.0
20131008_00, TY,20131008_00,31.2,127.0
20131008_00, TY,20131008_00,31.2,127.0
20131008_00, TY,20131008_00,31.2,127.0
20131008_06, TY,20131008_06,32.7,127.6
20131008_06, TY,20131008_06,32.7,127.6
20131008_12, EX,20131008_12,34.5,129.5
20131008_12, EX,20131008_12,34.5,129.5
20131008_18, EX,20131008_18,35.6,131.5
20131008_12, DB,20131008_12,14.0,131.7
20131008_18, DB,20131008_18,14.3,131.1
20131009_00, TD,20131009_00,14.5,130.3
20131009_06, TD,20131009_06,14.5,129.6
20131009_12, TS,20131009_12,14.5,129.0
20131009_18, TS,20131009_18,14.8,128.5
20131009_18, TS,20131009_18,14.8,128.5
20131010_00, TS,20131010_00,15.2,127.9
20131010_00, TS,20131010_00,15.2,127.9
20131010_06, TY,20131010_06,15.3,127.0
20131010_06, TY,20131010_06,15.3,127.0
20131010_12, TY,20131010_12,15.5,126.1
20131010_12, TY,20131010_12,15.5,126.1
20131010_12, TY,20131010_12,15.5,126.1
20131010_18, TY,20131010_18,15.4,125.2
20131010_18, TY,20131010_18,15.4,125.2
20131010_18, TY,20131010_18,15.4,125.2
20131011_00, TY,20131011_00,15.3,124.4
20131011_00, TY,20131011_00,15.3,124.4
20131011_00, TY,20131011_00,15.3,124.4
20131011_06, TY,20131011_06,15.4,123.3
20131011_06, TY,20131011_06,15.4,123.3
20131011_06, TY,20131011_06,15.4,123.3
20131011_12, TY,20131011_12,15.4,122.2
20131011_12, TY,20131011_12,15.4,122.2
20131011_12, TY,20131011_12,15.4,122.2
20131011_18, TY,20131011_18,15.4,120.5
20131011_18, TY,20131011_18,15.4,120.5
20131011_18, TY,20131011_18,15.4,120.5
20131012_00, TY,20131012_00,15.1,119.2
20131012_00, TY,20131012_00,15.1,119.2
20131012_00, TY,20131012_00,15.1,119.2
20131012_06, TY,20131012_06,15.2,118.1
20131012_06, TY,20131012_06,15.2,118.1
20131012_06, TY,20131012_06,15.2,118.1
20131012_12, TY,20131012_12,15.2,117.0
20131012_12, TY,20131012_12,15.2,117.0
20131012_12, TY,20131012_12,15.2,117.0
20131012_18, TY,20131012_18,15.2,115.8
20131012_18, TY,20131012_18,15.2,115.8
20131012_18, TY,20131012_18,15.2,115.8
20131013_00, TY,20131013_00,15.2,114.6
20131013_00, TY,20131013_00,15.2,114.6
20131013_00, TY,20131013_00,15.2,114.6
20131013_06, TY,20131013_06,15.3,113.7
20131013_06, TY,20131013_06,15.3,113.7
20131013_06, TY,20131013_06,15.3,113.7
20131013_12, TY,20131013_12,15.4,112.9
20131013_12, TY,20131013_12,15.4,112.9
20131013_12, TY,20131013_12,15.4,112.9
20131013_18, TY,20131013_18,15.5,112.0
20131013_18, TY,20131013_18,15.5,112.0
20131013_18, TY,20131013_18,15.5,112.0
20131014_00, TY,20131014_00,15.8,111.5
20131014_00, TY,20131014_00,15.8,111.5
20131014_00, TY,20131014_00,15.8,111.5
20131014_06, TY,20131014_06,15.9,110.7
20131014_06, TY,20131014_06,15.9,110.7
20131014_06, TY,20131014_06,15.9,110.7
20131014_12, TY,20131014_12,16.0,110.1
20131014_12, TY,20131014_12,16.0,110.1
20131014_12, TY,20131014_12,16.0,110.1
20131014_18, TY,20131014_18,16.0,109.0
20131014_18, TY,20131014_18,16.0,109.0
20131014_18, TY,20131014_18,16.0,109.0
20131015_00, TY,20131015_00,15.8,108.0
20131015_00, TY,20131015_00,15.8,108.0
20131015_00, TY,20131015_00,15.8,108.0
20131015_06, TS,20131015_06,15.3,107.0
20131015_06, TS,20131015_06,15.3,107.0
20131015_12, TS,20131015_12,15.0,105.7
20131009_12, DB,20131009_12,14.0,147.5
20131009_18, DB,20131009_18,13.9,146.7
20131010_00, DB,20131010_00,13.8,145.9
20131010_06, DB,20131010_06,13.6,144.7
20131010_12, TD,20131010_12,13.3,143.7
20131010_18, TS,20131010_18,13.5,143.0
20131011_00, TS,20131011_00,13.9,142.2
20131011_06, TS,20131011_06,14.4,141.4
20131011_12, TS,20131011_12,14.9,140.6
20131011_12, TS,20131011_12,14.9,140.6
20131011_18, TS,20131011_18,15.5,139.9
20131011_18, TS,20131011_18,15.5,139.9
20131012_00, TS,20131012_00,16.0,139.2
20131012_00, TS,20131012_00,16.0,139.2
20131012_06, TS,20131012_06,16.7,138.8
20131012_06, TS,20131012_06,16.7,138.8
20131012_12, TY,20131012_12,17.2,138.4
20131012_12, TY,20131012_12,17.2,138.4
20131012_18, TY,20131012_18,17.9,137.9
20131012_18, TY,20131012_18,17.9,137.9
20131012_18, TY,20131012_18,17.9,137.9
20131013_00, TY,20131013_00,18.4,137.4
20131013_00, TY,20131013_00,18.4,137.4
20131013_00, TY,20131013_00,18.4,137.4
20131013_06, TY,20131013_06,19.1,137.1
20131013_06, TY,20131013_06,19.1,137.1
20131013_06, TY,20131013_06,19.1,137.1
20131013_12, TY,20131013_12,19.8,136.4
20131013_12, TY,20131013_12,19.8,136.4
20131013_12, TY,20131013_12,19.8,136.4
20131013_18, TY,20131013_18,20.6,135.9
20131013_18, TY,20131013_18,20.6,135.9
20131013_18, TY,20131013_18,20.6,135.9
20131014_00, TY,20131014_00,21.7,135.4
20131014_00, TY,20131014_00,21.7,135.4
20131014_00, TY,20131014_00,21.7,135.4
20131014_06, TY,20131014_06,23.0,134.9
20131014_06, TY,20131014_06,23.0,134.9
20131014_06, TY,20131014_06,23.0,134.9
20131014_12, TY,20131014_12,24.2,134.3
20131014_12, TY,20131014_12,24.2,134.3
20131014_12, TY,20131014_12,24.2,134.3
20131014_18, TY,20131014_18,25.6,133.9
20131014_18, TY,20131014_18,25.6,133.9
20131014_18, TY,20131014_18,25.6,133.9
20131015_00, TY,20131015_00,27.0,133.9
20131015_00, TY,20131015_00,27.0,133.9
20131015_00, TY,20131015_00,27.0,133.9
20131015_03, TY,20131015_03,27.8,134.2
20131015_03, TY,20131015_03,27.8,134.2
20131015_03, TY,20131015_03,27.8,134.2
20131015_06, TY,20131015_06,28.4,134.6
20131015_06, TY,20131015_06,28.4,134.6
20131015_06, TY,20131015_06,28.4,134.6
20131015_12, TY,20131015_12,30.4,136.4
20131015_12, TY,20131015_12,30.4,136.4
20131015_12, TY,20131015_12,30.4,136.4
20131015_18, TY,20131015_18,32.8,138.9
20131015_18, TY,20131015_18,32.8,138.9
20131016_00, EX,20131016_00,36.1,142.1
20131016_00, EX,20131016_00,36.1,142.1
20131016_06, EX,20131016_06,40.2,145.4
20131015_12, DB,20131015_12,14.0,148.4
20131015_18, DB,20131015_18,13.6,146.8
20131016_00, TD,20131016_00,12.7,145.1
20131016_06, TD,20131016_06,12.2,144.1
20131016_12, TS,20131016_12,11.6,143.4
20131016_18, TS,20131016_18,10.9,143.2
20131016_18, TS,20131016_18,10.9,143.2
20131017_00, TY,20131017_00,11.0,142.8
20131017_00, TY,20131017_00,11.0,142.8
20131017_00, TY,20131017_00,11.0,142.8
20131017_06, TY,20131017_06,11.4,142.7
20131017_06, TY,20131017_06,11.4,142.7
20131017_06, TY,20131017_06,11.4,142.7
20131017_12, TY,20131017_12,12.0,142.9
20131017_12, TY,20131017_12,12.0,142.9
20131017_12, TY,20131017_12,12.0,142.9
20131017_15, TY,20131017_15,12.6,142.9
20131017_15, TY,20131017_15,12.6,142.9
20131017_15, TY,20131017_15,12.6,142.9
20131017_18, TY,20131017_18,13.2,142.7
20131017_18, TY,20131017_18,13.2,142.7
20131017_18, TY,20131017_18,13.2,142.7
20131018_00, TY,20131018_00,13.8,142.3
20131018_00, TY,20131018_00,13.8,142.3
20131018_00, TY,20131018_00,13.8,142.3
20131018_06, TY,20131018_06,14.2,142.0
20131018_06, TY,20131018_06,14.2,142.0
20131018_06, TY,20131018_06,14.2,142.0
20131018_09, TY,20131018_09,14.7,142.1
20131018_09, TY,20131018_09,14.7,142.1
20131018_09, TY,20131018_09,14.7,142.1
20131018_12, ST,20131018_12,15.2,141.9
20131018_12, ST,20131018_12,15.2,141.9
20131018_12, ST,20131018_12,15.2,141.9
20131018_18, ST,20131018_18,15.9,141.1
20131018_18, ST,20131018_18,15.9,141.1
20131018_18, ST,20131018_18,15.9,141.1
20131019_00, ST,20131019_00,16.2,140.4
20131019_00, ST,20131019_00,16.2,140.4
20131019_00, ST,20131019_00,16.2,140.4
20131019_06, ST,20131019_06,16.7,139.7
20131019_06, ST,20131019_06,16.7,139.7
20131019_06, ST,20131019_06,16.7,139.7
20131019_12, ST,20131019_12,17.1,139.1
20131019_12, ST,20131019_12,17.1,139.1
20131019_12, ST,20131019_12,17.1,139.1
20131019_18, ST,20131019_18,17.4,138.4
20131019_18, ST,20131019_18,17.4,138.4
20131019_18, ST,20131019_18,17.4,138.4
20131020_00, ST,20131020_00,17.8,137.8
20131020_00, ST,20131020_00,17.8,137.8
20131020_00, ST,20131020_00,17.8,137.8
20131020_06, TY,20131020_06,18.3,137.3
20131020_06, TY,20131020_06,18.3,137.3
20131020_06, TY,20131020_06,18.3,137.3
20131020_12, TY,20131020_12,18.7,136.9
20131020_12, TY,20131020_12,18.7,136.9
20131020_12, TY,20131020_12,18.7,136.9
20131020_18, TY,20131020_18,19.3,136.6
20131020_18, TY,20131020_18,19.3,136.6
20131020_18, TY,20131020_18,19.3,136.6
20131021_00, TY,20131021_00,19.8,136.2
20131021_00, TY,20131021_00,19.8,136.2
20131021_00, TY,20131021_00,19.8,136.2
20131021_06, TY,20131021_06,20.4,135.9
20131021_06, TY,20131021_06,20.4,135.9
20131021_06, TY,20131021_06,20.4,135.9
20131021_12, TY,20131021_12,21.0,135.6
20131021_12, TY,20131021_12,21.0,135.6
20131021_12, TY,20131021_12,21.0,135.6
20131021_18, TY,20131021_18,21.7,135.2
20131021_18, TY,20131021_18,21.7,135.2
20131021_18, TY,20131021_18,21.7,135.2
20131022_00, TY,20131022_00,22.2,134.5
20131022_00, TY,20131022_00,22.2,134.5
20131022_00, TY,20131022_00,22.2,134.5
20131022_06, TY,20131022_06,22.7,133.7
20131022_06, TY,20131022_06,22.7,133.7
20131022_06, TY,20131022_06,22.7,133.7
20131022_12, TY,20131022_12,23.2,133.0
20131022_12, TY,20131022_12,23.2,133.0
20131022_12, TY,20131022_12,23.2,133.0
20131022_18, TY,20131022_18,23.6,132.2
20131022_18, TY,20131022_18,23.6,132.2
20131022_18, TY,20131022_18,23.6,132.2
20131023_00, TY,20131023_00,24.0,131.4
20131023_00, TY,20131023_00,24.0,131.4
20131023_00, TY,20131023_00,24.0,131.4
20131023_06, TY,20131023_06,24.3,130.6
20131023_06, TY,20131023_06,24.3,130.6
20131023_06, TY,20131023_06,24.3,130.6
20131023_12, TY,20131023_12,24.5,130.1
20131023_12, TY,20131023_12,24.5,130.1
20131023_18, TY,20131023_18,24.8,129.9
20131023_18, TY,20131023_18,24.8,129.9
20131024_00, TS,20131024_00,25.1,129.8
20131024_00, TS,20131024_00,25.1,129.8
20131024_06, TS,20131024_06,25.8,129.8
20131024_06, TS,20131024_06,25.8,129.8
20131024_12, TS,20131024_12,26.5,130.2
20131024_12, TS,20131024_12,26.5,130.2
20131024_18, TS,20131024_18,27.2,131.0
20131024_18, TS,20131024_18,27.2,131.0
20131025_00, TS,20131025_00,27.9,131.8
20131025_00, TS,20131025_00,27.9,131.8
20131025_06, TS,20131025_06,28.8,133.1
20131025_12, TS,20131025_12,29.7,134.9
20131025_18, TS,20131025_18,31.2,137.6
20131026_00, EX,20131026_00,31.8,140.5
20131017_00, DB,20131017_00,13.8,152.6
20131017_06, DB,20131017_06,14.5,153.0
20131017_12, DB,20131017_12,15.4,153.3
20131017_18, DB,20131017_18,16.3,153.1
20131018_00, TD,20131018_00,17.1,152.9
20131018_06, TD,20131018_06,17.8,152.6
20131018_12, TD,20131018_12,18.4,152.4
20131018_18, TD,20131018_18,19.0,152.2
20131019_00, TD,20131019_00,19.4,151.7
20131019_06, TD,20131019_06,20.2,151.2
20131019_12, TD,20131019_12,20.9,150.4
20131019_18, TD,20131019_18,21.7,149.0
20131020_00, TD,20131020_00,22.5,147.3
20131020_06, TD,20131020_06,23.6,145.8
20131020_12, TD,20131020_12,24.7,144.3
20131020_18, TD,20131020_18,26.2,143.1
20131021_00, TD,20131021_00,28.1,142.4
20131021_03, TD,20131021_03,29.0,142.4
20131021_06, TD,20131021_06,29.9,142.4
20131021_12, TD,20131021_12,31.1,143.4
20131021_18, EX,20131021_18,31.4,144.2
